whois 5.6.4-1
wiremix 0.7.0-1
wireplumber 0.5.11-1
wl-clip-persist 0.4.3-2
wl-clipboard 1:2.2.1-3
wl-screenrec 0.1.7-1
woff2-font-awesome 7.0.0-4
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.10-1
xmlstarlet 1.6.1-6
xournalpp 1.2.7-1
yaru-icon-theme 25.04.2-1
yay 12.5.0-1
yt-dlp 2025.08.27-1
zen-browser-bin 1.15.3b-1
zoxide 0.9.8-2
zram-generator 1.2.1-1
